time,temperature_2m (°C),precipitation (mm),wind_speed_10m (km/h),relative_humidity_2m (%),weather_code (wmo code)
2024-01-06T05:00,-1.4,0,5.4,76,3
2024-01-06T06:00,-1.3,0,5.8,77,3
2024-01-06T07:00,-1.1,0,7.3,77,3
2024-01-06T08:00,-0.7,0,6.3,77,3
2024-01-06T09:00,0.1,0.4,8.4,80,51
2024-01-06T10:00,1,0.1,12.3,84,51
2024-01-06T11:00,2.2,0.2,5.5,82,51
2024-01-06T12:00,2,0.3,13.2,88,71
2024-01-06T13:00,2.6,0.8,17.7,95,71
2024-01-06T14:00,2.8,1.8,17.2,95,61
2024-01-06T15:00,3.5,2.1,17,94,61
2024-01-06T16:00,4.2,2.6,18.4,95,63
2024-01-06T17:00,4.4,3.5,21.4,96,63
2024-01-06T18:00,5.1,2.5,19.6,98,63
2024-01-06T19:00,6.1,1,14.2,98,55
2024-01-06T20:00,6.1,0.9,10.4,98,53
2024-01-06T21:00,2.2,0,17.1,94,3
2024-01-06T22:00,2.3,0,15.8,94,3
2024-01-06T23:00,1.9,0,14.6,95,2
2024-01-07T00:00,1.5,0,14.9,96,0
2024-01-07T01:00,0.8,0,14.2,97,0
2024-01-07T02:00,0.3,0,12.6,97,0
2024-01-07T03:00,0,0,11.2,96,0
2024-01-07T04:00,-0.2,0,10,96,1
2024-01-07T05:00,0.2,0,10.5,96,0
2024-01-07T06:00,0.3,0,9.2,95,3
2024-01-07T07:00,0.7,0,9.4,95,3
2024-01-07T08:00,1.1,0,9.7,94,3
2024-01-07T09:00,0.2,0,9.6,94,3
2024-01-07T10:00,1.5,0,8.3,94,3
2024-01-07T11:00,3.8,0.3,6.9,92,51
2024-01-07T12:00,6.8,0,10.8,84,0
2024-01-07T13:00,8.4,0,26.8,65,1
2024-01-07T14:00,8.9,0,25.1,58,2
2024-01-07T15:00,9,0,27.7,54,3
2024-01-07T16:00,8.6,0,23.8,54,3
2024-01-07T17:00,8,0,21.7,55,3
2024-01-07T18:00,7,0,18.6,56,3
2024-01-07T19:00,6,0,16,59,3
2024-01-07T20:00,5.2,0,15.7,64,1
2024-01-07T21:00,5.2,0,16.3,63,0
2024-01-07T22:00,4.3,0,15.4,67,0
2024-01-07T23:00,3.8,0,17.7,70,0
2024-01-08T00:00,3.4,0,16.8,72,0
2024-01-08T01:00,3.1,0,16.6,74,0
2024-01-08T02:00,2.7,0,16.9,74,0
